Client ID,Name,Legal Name,Start Date,Street #,Street Name,State,Zip,Lat,Lon,Accuracy,Category
200601270011,Whole Foods Market #53,Whole Foods Market Group Inc,9/27/2002,5880,Centre Ave,PA,15206,40.45852,-79.928707,9,Supermarket
200210010004,Whole Foods Wexford #10377,Whole Foods Market Inc,3/28/2012,10576,Perry Hi,PA,15090,40.39721,-77.025796,5,Supermarket
201203290001,Giant Eagle Market #616,,11/4/2003,600,Brentwood Towne Sq,PA,15227,40.366498,-79.9829,9,Supermarket
200311100003,Save A Lot Crafton,,6/1/2004,,Crafton Ingram Shopping Center @ Foster Ave,PA,15205,40.44177,-80.087015,3,Supermarket
200406040001,Shop 'n Save McKeesport,,6/30/1997,815,5th Ave,PA,15132,40.352,-79.856045,9,Supermarket
56556,The Uncommon Market,C P Food Store Inc,11/21/1991,1798,Highland Rd,PA,15241,40.348876,-80.052248,9,Supermarket
47923,Market Outlet,Great Buys Inc,12/30/2010,1700,Penn Av,PA,15222,40.4497,-79.985758,9,Supermarket
201101070007,Karibu International Market LLC,Karibu Internation Market LLC,10/28/2014,2740,Saw Mill Run Bo,PA,15227,40.378296,-79.991494,9,Supermarket
201410310006,South Hills IGA,Kutscher Inc,12/1/2006,649,Old Clairton Rd,PA,15236,40.324262,-79.956892,9,Supermarket
200612060005,Leonard Labriola's Italian Market,Labriola Italian Stores Inc,7/23/2004,4039,Monroeville Blvd,PA,15146,40.43557,-79.768914,9,Supermarket
200407290001,Lamperts Deli Express,Lamperts Food Market Inc,11/21/2012,2010,Eden Park Bo,PA,15132,40.34505,-79.84648,3,Supermarket
201211270011,Las Palmas,"Las Palmas, LLC",12/8/2009,700,Brookline Blvd,PA,15226,40.394595,-80.021685,9,Supermarket
200912140001,Leonard Labriola's Italian Store,Leonard Labriola's Italian Stores LLC,8/26/2010,112,Northgate Dr,PA,15086,40.650509,-80.078238,9,Supermarket
201009080008,Shursave,Lix Superpark Inc #3,6/1/1984,4401,Liberty Av,PA,15224,40.463648,-79.952803,8,Supermarket
38101,Groceria Italiano,Madonna Teresa Corp,8/21/1998,237,Cedarville St,PA,15224,40.46186,-79.948546,9,Supermarket
57626,Market on Broadway IGA / Las Palmas,"Market on Broadway IGA / Las Palmas, Inc",7/15/2013,1616,Broadway Ave,PA,15216,40.410007,-80.024988,9,Supermarket
201312090007,Market on Forbes IGA,Market on Forbes Inc,8/11/2008,3609,Forbes Ave / 2nd Fl,PA,15213,40.440974,-79.958169,9,Supermarket
200808150002,McGinnis Sisters Market,McGinnis Food Ctr Inc,9/21/1995,4311,Northern Pike,PA,15146,40.435043,-79.753389,9,Supermarket
54350,McGinnis Sisters Market,McGinnis Food Ctr Inc,2/29/1996,3825,Saw Mill Run Blvd,PA,15227,40.369718,-79.98215,9,Supermarket
54797,Murray Avenue Kosher,Murray Avenue Kosher Inc,12/11/1996,1916,Murray Ave,PA,15217,40.435463,-79.923124,9,Supermarket
56065,Oriental Market,Oriental Market LLC,1/19/2011,4768,Mcknight Rd,PA,15237,40.519802,-80.004493,9,Supermarket
201101200001,Pakeeza,Pakeeza Inc,2/27/2013,4411,Old Wm Penn Hi,PA,15146,40.445986,-79.764292,9,Supermarket
201303130004,Robert Wholey Co,Robert Wholey Co Inc,12/16/1992,1711,Penn Av,PA,15222,40.450111,-79.985875,9,Supermarket
